dataset,t,failure_rate,nodes_deleted,remaining_nodes,baseline_avg_stretch,damaged_avg_stretch,damaged_max_stretch,connectivity_ratio,unreachable_pairs,repair_edges_added,repaired_avg_stretch,repaired_max_stretch
Erdos-Renyi (500),3,0.01,5,495,1.0,1.0,1.0,1.0,0,0,1.0,1.0
Erdos-Renyi (500),3,0.05,25,475,1.0,1.0,1.0,1.0,0,0,1.0,1.0
Erdos-Renyi (500),3,0.1,50,450,1.0,1.0,1.0,1.0,0,0,1.0,1.0
Erdos-Renyi (500),3,0.15,75,425,1.0,1.0,1.0,1.0,0,0,1.0,1.0
Erdos-Renyi (500),3,0.2,100,400,1.0,1.0,1.0,1.0,0,0,1.0,1.0
Erdos-Renyi (500),5,0.01,5,495,1.0,1.0,1.0,1.0,0,0,1.0,1.0
Erdos-Renyi (500),5,0.05,25,475,1.0,1.0,1.0,1.0,0,0,1.0,1.0
Erdos-Renyi (500),5,0.1,50,450,1.0,1.0,1.0,1.0,0,0,1.0,1.0
Erdos-Renyi (500),5,0.15,75,425,1.0,1.0,1.0,1.0,0,0,1.0,1.0
Erdos-Renyi (500),5,0.2,100,400,1.0,1.0,1.0,1.0,0,0,1.0,1.0
Grid (20x20),3,0.01,4,396,1.0,1.0,1.0,1.0,0,0,1.0,1.0
Grid (20x20),3,0.05,20,380,1.0,1.0,1.0,1.0,0,0,1.0,1.0
Grid (20x20),3,0.1,40,360,1.0,1.0,1.0,1.0,0,0,1.0,1.0
Grid (20x20),3,0.15,60,340,1.0,1.0,1.0,1.0,0,0,1.0,1.0
Grid (20x20),3,0.2,80,320,1.0,1.0,1.0,1.0,0,0,1.0,1.0
Grid (20x20),5,0.01,4,396,1.0,1.0,1.0,1.0,0,0,1.0,1.0
Grid (20x20),5,0.05,20,380,1.0,1.0,1.0,1.0,0,0,1.0,1.0
Grid (20x20),5,0.1,40,360,1.0,1.0,1.0,1.0,0,0,1.0,1.0
Grid (20x20),5,0.15,60,340,1.0,1.0,1.0,1.0,0,0,1.0,1.0
Grid (20x20),5,0.2,80,320,1.0,1.0,1.0,1.0,0,0,1.0,1.0
Barabasi-Albert (500),3,0.01,5,495,1.0,1.0,1.0,1.0,0,0,1.0,1.0
Barabasi-Albert (500),3,0.05,25,475,1.0,1.0,1.0,0.9811,0,0,1.0,1.0
Barabasi-Albert (500),3,0.1,50,450,1.0,1.0,1.0,0.9378,0,0,1.0,1.0
Barabasi-Albert (500),3,0.15,75,425,1.0,1.0,1.0,0.8565,0,0,1.0,1.0
Barabasi-Albert (500),3,0.2,100,400,1.0,1.0,1.0,0.6825,0,0,1.0,1.0
Barabasi-Albert (500),5,0.01,5,495,1.0,1.0,1.0,1.0,0,0,1.0,1.0
Barabasi-Albert (500),5,0.05,25,475,1.0,1.0,1.0,0.9811,0,0,1.0,1.0
Barabasi-Albert (500),5,0.1,50,450,1.0,1.0,1.0,0.9378,0,0,1.0,1.0
Barabasi-Albert (500),5,0.15,75,425,1.0,1.0,1.0,0.8565,0,0,1.0,1.0
Barabasi-Albert (500),5,0.2,100,400,1.0,1.0,1.0,0.6825,0,0,1.0,1.0
